state,afd_votes,valid_votes,afd_share_pct,year,state_name
1,1403.6199999999994,1715641,0.08181315321795174,2017,Schleswig-Holstein
2,765.1100000000005,978118,0.0782226684305984,2017,Hamburg
3,4223.619999999999,4646976,0.09088964522304396,2017,Niedersachsen
4,332.44000000000017,332323,0.10003520671154273,2017,Bremen
5,9284.250000000004,9853377,0.09422404115868097,2017,Nordrhein-Westfalen
6,3987.9816540036577,3348900,0.11908333046682963,2017,Hessen
7,2656.879999999999,2362506,0.11246024348721229,2017,Rheinland-Pfalz
8,7304.989999999997,5992968,0.1218926915678508,2017,Baden-Württemberg
9,9164.581793751673,7393210,0.12395944107839048,2017,Bayern
10,589.1999999999999,585258,0.10067354910142193,2017,Saarland
11,2253.14419801654,1869042,0.120550752632447,2017,Berlin
12,3011.0299999999997,1490831,0.20196990805798912,2017,Brandenburg
13,1724.090000000001,927510,0.18588371014867777,2017,Mecklenburg-Vorpommern
14,6709.237109579701,2479404,0.27059878541696714,2017,Sachsen
15,2444.0099999999998,1244980,0.19630917765747238,2017,Sachsen-Anhalt
16,2940.69014096797,1294448,0.2271771551246531,2017,Thüringen
1,1195.66,1762754,0.06782909016232555,2021,Schleswig-Holstein
2,505.3699999999998,1005544,0.0502583676099703,2021,Hamburg
3,3364.340000000001,4523221,0.07437929740775437,2021,Niedersachsen
4,225.75000000000006,328040,0.06881782709425682,2021,Bremen
5,7181.995676469387,9888030,0.07263323105279197,2021,Nordrhein-Westfalen
6,2909.7799999999984,3300810,0.088153513834483,2021,Hessen
7,2152.0499999999993,2334152,0.09219836583050287,2021,Rheinland-Pfalz
8,5713.36,5949660,0.09602834447682723,2021,Baden-Württemberg
9,6799.15,7571313,0.0898014650827406,2021,Bayern
10,576.2899999999998,573668,0.10045705878661522,2021,Saarland
11,1536.9400000000007,1826581,0.0841429972172053,2021,Berlin
12,2774.1200000000003,1529643,0.18135734939459733,2021,Brandenburg
13,1653.4199999999992,918859,0.17994273332469934,2021,Mecklenburg-Vorpommern
14,6070.439999999997,2462897,0.2464755935794309,2021,Sachsen
15,2354.92,1201940,0.19592658535367824,2021,Sachsen-Anhalt
16,3032.33,1264911,0.2397267475735447,2021,Thüringen
1,3061.649999999998,1880005,0.1628532902838023,2025,Schleswig-Holstein
2,1136.079999999996,1045620,0.10865132648572101,2025,Hamburg
3,8945.400000000005,5015336,0.17836093135135922,2025,Niedersachsen
4,524.9599999999991,348256,0.1507396857484147,2025,Bremen
5,17703.79,10526134,0.16818890962246918,2025,Nordrhein-Westfalen
6,6367.7800000000025,3580834,0.17782952239617927,2025,Hessen
7,4986.950000000001,2482358,0.20089568063913427,2025,Rheinland-Pfalz
8,12564.300000000005,6349998,0.1978630544450566,2025,Baden-Württemberg
9,15157.309999999996,7972054,0.1901305485386827,2025,Bayern
10,1292.9400000000012,599723,0.21558953049991433,2025,Saarland
11,2969.8999999999987,1949533,0.15233904735134,2025,Berlin
12,5352.750000000002,1647338,0.3249333166599691,2025,Brandenburg
13,3573.6099999999997,1021242,0.3499278329720086,2025,Mecklenburg-Vorpommern
14,9584.009999999998,2569572,0.3729807921319192,2025,Sachsen
15,4961.100000000002,1337349,0.37096524542210013,2025,Sachsen-Anhalt
16,5105.27,1324160,0.38554781899468343,2025,Thüringen
